,ICD_CODE,SNOMED_CID
227,250.80,371087003
228,250.80,422014003
229,250.80,190389009
230,250.80,428007007
231,250.80,237632004
232,250.80,170766006
233,250.80,1521000119100
234,250.80,1531000119102
235,250.80,701000119103
236,250.80,761000119102
237,250.80,791000119109
238,250.80,127012008
239,250.80,200687002
240,250.80,201250006
241,250.80,201251005
242,250.80,201252003
243,250.80,201723002
244,250.80,217341008
245,250.80,237600004
246,250.80,237613005
247,250.80,237619009
248,250.80,237633009
249,250.80,238981002
250,250.80,238982009
251,250.80,238983004
252,250.80,238984005
253,250.80,2751001
254,250.80,280137006
255,250.80,308105005
256,250.80,308106006
257,250.80,38205001
258,250.80,394671009
259,250.80,394672002
260,250.80,394673007
261,250.80,394674001
262,250.80,394675000
263,250.80,394676004
264,250.80,394681008
265,250.80,394682001
266,250.80,414890007
267,250.80,414906009
268,250.80,419100001
269,250.80,422183001
270,250.80,426705001
271,250.80,427089005
272,250.80,427134009
273,250.80,9859006
274,250.80,8801005
275,250.80,75682002
276,250.80,70694009
277,250.80,5969009
278,250.80,62260007
279,250.80,441656006
280,250.80,48951005
281,250.80,56391002
282,250.80,59079001
283,250.80,87451000119102
284,250.80,368591000119109
285,250.80,84361000119102
286,250.80,120731000119103
287,250.80,140521000119107
288,250.80,72061000119104
289,250.80,87461000119100
290,250.80,140391000119101
291,250.80,97621000119107
292,250.80,111231000119109
293,250.80,10656271000119102
294,250.80,119831000119106
295,250.80,108781000119105
296,250.80,72051000119101
297,250.80,110171000119107
298,250.80,87441000119104
299,250.80,140531000119105
300,250.80,140381000119104
1592,250.82,422014003
1773,790.29,166922008
1774,790.29,31649001
1775,790.29,441690002
1776,790.29,88512005
1777,790.29,444780001
1778,790.29,444925004
1779,790.29,51798006
1780,790.29,60634005
1781,790.29,102660008
1782,790.29,442545002
1783,790.29,708122002
1784,790.29,714628002
1785,790.29,700449008
1919,250.13,420270002
2048,250.62,421326000
2875,250.12,421750000
4858,250.72,422166005
4976,250.42,420279001
5364,250.81,420868002
5365,250.81,190368000
5366,250.81,691000119103
5367,250.81,426907004
5368,250.81,237618001
5369,250.81,1571000119104
5370,250.81,10656231000119100
5371,250.81,87491000119107
5372,250.81,110141000119100
5373,250.81,120711000119108
5374,250.81,72041000119103
5375,250.81,72141000119104
5376,250.81,72021000119109
5377,250.81,164881000119109
5378,250.81,87481000119109
5379,250.81,72031000119107
5380,250.81,87471000119106
5381,250.81,368551000119104
5382,250.81,84371000119108
5861,250.22,190331003
6192,250.92,422014003
7115,250.63,421468001
7898,250.20,395204000
7899,250.20,190331003
7900,250.20,310505005
7901,250.20,422126006
11250,250.83,420868002
13349,250.71,421365002
13431,250.71,420825003
14629,250.52,422099009
14753,250.43,421893009
15521,250.30,421847006
15522,250.30,111558006
15523,250.30,237621004
15524,250.30,26298008
15525,250.30,420662003
15526,250.30,420996007
15527,250.30,421437000
15528,250.30,421725003
15529,250.30,421966007
19726,250.73,421365002
21691,250.32,420662003
21761,250.93,420868002
28876,250.31,314771006
28877,250.31,421075007
28884,250.31,420662003
39505,648.82,372051007
39730,648.84,39763004
40172,648.84,372050008
